lat,lon,note,address,images,bank_id
22.251924,112.794065,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",87 Messerschmidt Place,http://dummyimage.com/225x234.jpg/5fa2dd/ffffff,20
58.9015864,5.7123282,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",6438 Sunnyside Lane,http://dummyimage.com/220x187.png/5fa2dd/ffffff,18
39.283086,117.432007,,3530 Pleasure Pass,,1
31.070643,113.943274,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,96147 Anzinger Crossing,http://dummyimage.com/242x114.jpg/cc0000/ffffff,6
40.3808163,23.9238045,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,3083 Gulseth Point,http://dummyimage.com/212x208.jpg/5fa2dd/ffffff,8
38.3089089,-7.7085755,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,6 Schmedeman Alley,http://dummyimage.com/249x117.png/cc0000/ffffff,14
47.2186081,34.6661709,,771 Granby Place,,17
39.574695,113.28303,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",2 Melrose Way,http://dummyimage.com/211x123.png/dddddd/000000,20
10.4184707,122.8854511,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",407 Kipling Avenue,http://dummyimage.com/106x119.bmp/dddddd/000000,19
45.6103043,79.467517,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",344 Anzinger Park,http://dummyimage.com/127x225.bmp/5fa2dd/ffffff,16
51.0279541,18.4228918,,959 Barby Court,,17
55.859897,13.6699417,Aliquam non mauris.,97310 Chinook Point,http://dummyimage.com/202x208.jpg/cc0000/ffffff,5
51.7181762,17.7257496,,743 Lillian Circle,,1
-7.3003622,111.9492682,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",20324 Comanche Point,http://dummyimage.com/118x144.bmp/dddddd/000000,7
-24.30724,29.51076,Mauris sit amet eros.,07531 Almo Court,http://dummyimage.com/121x125.jpg/ff4444/ffffff,20
49.4259425,17.5920528,,393 Manufacturers Crossing,,4
-13.88991,-70.647842,,026 Service Hill,,17
46.6693059,5.5466073,,6320 Rusk Park,,5
41.0213628,-80.6150117,,04 Dapin Court,,12
34.85028,128.58861,,2655 Killdeer Lane,,2
41.3435561,-8.3773116,,127 John Wall Street,,14
56.2056772,12.5535623,,15 Talmadge Way,,16
47.17532,-1.6901492,,81 Hollow Ridge Circle,,18
23.12468,113.3612,,0555 Jenna Crossing,,2
15.1249413,-88.4415998,,19 Thierer Avenue,,4
36.951766,102.494696,,13990 Bluejay Alley,,17
56.5948706,84.9077645,,6 Grayhawk Park,,19
41.8639083,59.6326482,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",0504 Fieldstone Court,http://dummyimage.com/157x221.png/5fa2dd/ffffff,17
29.813041,106.738324,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,7 Dovetail Park,http://dummyimage.com/120x224.png/dddddd/000000,12
14.5638721,121.0327599,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",03 Holmberg Lane,http://dummyimage.com/246x219.jpg/cc0000/ffffff,7
-18.8228804,-40.9050432,,9261 Hayes Court,,18
-7.2030729,112.0237903,,90 Badeau Drive,,20
32.4626078,50.1292303,,9 Glacier Hill Terrace,,4
37.2484774,138.4445735,,112 Shopko Center,,8
9.2716618,-2.9925577,,58404 Killdeer Drive,,13
4.398278,-74.828718,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",648 Porter Court,http://dummyimage.com/174x142.jpg/ff4444/ffffff,14
32.032726,35.288375,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",660 Blackbird Lane,http://dummyimage.com/118x138.jpg/cc0000/ffffff,16
-7.5273,110.336609,,54295 Meadow Vale Parkway,,6
50.270819,85.613152,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",0 Tony Park,http://dummyimage.com/169x209.jpg/dddddd/000000,7
11.2927933,11.3119092,,518 Monterey Circle,,2
50.3331127,10.2247836,,26 South Court,,6
59.0031146,12.2093266,,855 Meadow Valley Plaza,,8
12.4537943,102.2290442,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2910 Jenna Drive,http://dummyimage.com/181x202.bmp/5fa2dd/ffffff,7
17.8625501,120.4558185,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,91 Lindbergh Trail,http://dummyimage.com/167x187.bmp/ff4444/ffffff,19
10.18462,104.92959,Nulla ut erat id mauris vulputate elementum. Nullam varius.,1 Dayton Center,http://dummyimage.com/124x238.jpg/cc0000/ffffff,19
-7.0964497,108.6828838,,6 Fairview Center,,15
59.7448493,17.8041667,,235 Warrior Avenue,,2
8.235581,123.8545713,,6 Grim Plaza,,16
43.4945737,5.8978018,,2 Thackeray Way,,18
49.4705944,20.1323725,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,23 Green Ridge Road,http://dummyimage.com/218x117.bmp/dddddd/000000,9
49.2484813,17.7516417,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",042 Glendale Avenue,http://dummyimage.com/135x183.jpg/ff4444/ffffff,17
52.0629803,19.6406627,,8934 Vahlen Alley,,17
